DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWAT	PIAT		PWAT	welch		Aber	welch	andere Zukunft würde seinem Sohne blühen , wenn er noch der Erbe des Klosterhofes wäre !	eine eigene Wiege sollte es haben !Aber welch andere Zukunft würde seinem Sohne blühen , wenn er noch der Erbe des Klosterhofes wäre !Und nun sollte sein Bube – er	10516	1	schweich_stvigil_stvigil.tsv
PWAT	PWAV		PWAT	welch		Er konnte doch weder ihr noch dem alten Herrn und am wenigsten jetzt dem heitern Bruder erklären ,	welch	schweren Seufzer er aus der dämmerigen Ecke her höre und dazu das Wort der Schwester Charlotte : Prinzessin Fisch ist schlimm daran , so schlimm , daß es ihr in diesem Augenblicke sogar eine Unterhaltung sein würde , wenn sie erführe , welch eine Wunderrolle sie den Sommer über in der Knabenphantasie im Nachbarhause gespielt hat .	Bett der seligen Mutter gestanden hatte .Er konnte doch weder ihr noch dem alten Herrn und am wenigsten jetzt dem heitern Bruder erklären , welch schweren Seufzer er aus der dämmerigen Ecke her höre und dazu das Wort der Schwester Charlotte : Prinzessin Fisch ist schlimm daran , so schlimm , daß es ihr in diesem Augenblicke sogar eine Unterhaltung sein würde , wenn sie erführe , welch eine Wunderrolle sie den Sommer über in der Knabenphantasie im Nachbarhause gespielt hat .Er vernahm in die Unterhaltung hinein längst	1207	18	raabe_prifisch_prifisch.tsv
PWAT	VVFIN		PWAT	welch		Er konnte doch weder ihr noch dem alten Herrn und am wenigsten jetzt dem heitern Bruder erklären , welch schweren Seufzer er aus der dämmerigen Ecke her höre und dazu das Wort der Schwester Charlotte : Prinzessin Fisch ist schlimm daran , so schlimm , daß es ihr in diesem Augenblicke sogar eine Unterhaltung sein würde , wenn sie erführe ,	welch	eine Wunderrolle sie den Sommer über in der Knabenphantasie im Nachbarhause gespielt hat .	Bett der seligen Mutter gestanden hatte .Er konnte doch weder ihr noch dem alten Herrn und am wenigsten jetzt dem heitern Bruder erklären , welch schweren Seufzer er aus der dämmerigen Ecke her höre und dazu das Wort der Schwester Charlotte : Prinzessin Fisch ist schlimm daran , so schlimm , daß es ihr in diesem Augenblicke sogar eine Unterhaltung sein würde , wenn sie erführe , welch eine Wunderrolle sie den Sommer über in der Knabenphantasie im Nachbarhause gespielt hat .Er vernahm in die Unterhaltung hinein längst	1207	61	raabe_prifisch_prifisch.tsv
PWAT	PWAT		PWS	welche		« »	Welche	Pläne , Träume , Hoffnungen nun !	Leibeskonstitution die allergrößte Veränderung zugetragen hat .« » Welche Pläne , Träume , Hoffnungen nun !Daß ich durch diesen einzigen Anblick auf	678	2	tieck_15novem_15novem.tsv
PWAT	PWAT		PWS	welche		« Und die Leute fragen mich aus , jeder einzelne kommt mit denselben Fragen : ›	Welche	Kuh ist bei mir eingegangen ?	Eine Kuh ist mir wieder eingegangen .« Und die Leute fragen mich aus , jeder einzelne kommt mit denselben Fragen : › Welche Kuh ist bei mir eingegangen ?« antworte ich : » Im Klageliede	2118	16	alejchem_anatewka_anatewka.tsv
PWAT	PWAT		PWAT	welche		Dies plötzliche nun in die Verbannung und in einen Kerker gerufene Glück hatte sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur darf sie es in ihren nächsten Interessen nicht berühren und ihr nicht irgend	welche	Opfer auferlegen .	der Gerechtigkeit schon müssen aufhalten lassen .Dies plötzliche nun in die Verbannung und in einen Kerker gerufene Glück hatte sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur darf sie es in ihren nächsten Interessen nicht berühren und ihr nicht irgend welche Opfer auferlegen .Warum sollte man das Ergebniß jener zweihundertjährigen	24893	43	gutzkow_ritter_ritter.tsv
PWAT	PWAT		PWAT	welche		Die so eben angeführte Frage ist gewiß dem Alter ganz angemessen , und die Antwort ist sehr einfach , aber man erwäge ,	welche	Klarheit der kindlichen Beurtheilungskraft sie voraussetzt !	welchen Hoffnungen berechtigte solch ein Sohn !Die so eben angeführte Frage ist gewiß dem Alter ganz angemessen , und die Antwort ist sehr einfach , aber man erwäge , welche Klarheit der kindlichen Beurtheilungskraft sie voraussetzt !Was für ein Mann , dieser Vater	1335	23	rousseau_emil1_emil1.tsv
PWAT	PWAT		PWAT	welche		Die Russische Armee zog sich in die Gegend von Zaringen , und aus allen Orten erfuhr man ,	welche	Grausamkeiten ihre leichten Truppen begingen .	es hing verwirrt um seine Schläfe .Die Russische Armee zog sich in die Gegend von Zaringen , und aus allen Orten erfuhr man , welche Grausamkeiten ihre leichten Truppen begingen .Die Hände waren lang , dürr und	16224	18	lafonta_flaming_flaming.tsv
PWAT	PWAT		PIS	welche		Wenn ich , ein Mann mit den Vorteilen und Mitteln und Kräften eines Mannes , die geheime Stimme meines Herzens mißachtet hätte , daß , wenn mein Vater gefehlt , es meine erste Pflicht sei , diesen Fehler zu verdecken und gutzumachen , –	welche	jugendliche Gestalt , die , ihre zarten Füße beinahe entblößt , durch die feuchten Straßen ging , mit ihren schwachen Händen immer arbeitete , ihren schwachen Körper vor der Rauheit des Wetters kaum geschützt hätte , wäre mir erschienen und hätte mich beschämt ?	Großmut des Herzens beobachtete ich da ?Wenn ich , ein Mann mit den Vorteilen und Mitteln und Kräften eines Mannes , die geheime Stimme meines Herzens mißachtet hätte , daß , wenn mein Vater gefehlt , es meine erste Pflicht sei , diesen Fehler zu verdecken und gutzumachen , – welche jugendliche Gestalt , die , ihre zarten Füße beinahe entblößt , durch die feuchten Straßen ging , mit ihren schwachen Händen immer arbeitete , ihren schwachen Körper vor der Rauheit des Wetters kaum geschützt hätte , wäre mir erschienen und hätte mich beschämt ?– Ein schwaches Mädchen !	1064	44	dickens_dorrit2_dorrit2.tsv
PWAT	PWAT		PWAT	welche		Darum soll der Zögling unsrer Erziehung an Arbeitsamkeit gewöhnt werden , damit er der Versuchung zur Ungerechtigkeit durch Nahrungssorgen überhoben sei , und tief , und als allererster Grundsatz der Ehre , soll es in sein Gemüth geprägt werden , daß es schändlich sei , seinen Lebensunterhalt einem andern , denn seiner Arbeit verdanken zu wollen Bedeutender aber ist auch hier die Frage , wie die Erziehung ermessen , und sich die Gewährschaft leisten könne , daß diese Religionskenntnisse nicht todt und kalt bleiben , sondern daß sie sich ausdrücken werden im wirken Leben ihres Zöglings ; welcher Frage die Beantwortung einer andern Frage vorauszuschicken ist , der folgenden : wie und auf	welche	Weise zeigt sich die Religion überhaupt im Leben ?	, mit Ehren leben zu können .Darum soll der Zögling unsrer Erziehung an Arbeitsamkeit gewöhnt werden , damit er der Versuchung zur Ungerechtigkeit durch Nahrungssorgen überhoben sei , und tief , und als allererster Grundsatz der Ehre , soll es in sein Gemüth geprägt werden , daß es schändlich sei , seinen Lebensunterhalt einem andern , denn seiner Arbeit verdanken zu wollen Bedeutender aber ist auch hier die Frage , wie die Erziehung ermessen , und sich die Gewährschaft leisten könne , daß diese Religionskenntnisse nicht todt und kalt bleiben , sondern daß sie sich ausdrücken werden im wirken Leben ihres Zöglings ; welcher Frage die Beantwortung einer andern Frage vorauszuschicken ist , der folgenden : wie und auf welche Weise zeigt sich die Religion überhaupt im Leben ?Unsere Zeit stellt es oft als einen	1105	113	fichte_dnation_dnation.tsv
