DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ITJ	NE		NN	ach		Da sagte der Jäger Jürge : ›	Ach	, bittet hier die gute alte Mutter , daß sie doch morgen mit dem Töchterlein ihrer seligen Base bei meinem Rechte zugegen sein mögen ; das wird mir das Herz stärken in meiner letzten Stunde .	, er wolle mit ihm beten .Da sagte der Jäger Jürge : › Ach , bittet hier die gute alte Mutter , daß sie doch morgen mit dem Töchterlein ihrer seligen Base bei meinem Rechte zugegen sein mögen ; das wird mir das Herz stärken in meiner letzten Stunde .« Er hieß mich zu seiner Köchin	495	7	14643-Brentano__Clemens.tsv
ITJ	NN		ITJ	ach			Ach	!	Uberwindet euch aber / schöne Prinzessin !Ach !Aus den unmöglichen ümständen / die unsere	25543	0	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
ITJ	NE		NN	ach		Mit einem großen Steine verschlossen sie das Begräbnis , auf dem sie Raum für eine Platte ließen , auf welche Ambrosius folgende Inschrift wollte eingraben lassen : »	Ach	, mein Herr !	Wahrheit in ein helleres Licht setzt .Mit einem großen Steine verschlossen sie das Begräbnis , auf dem sie Raum für eine Platte ließen , auf welche Ambrosius folgende Inschrift wollte eingraben lassen : » Ach , mein Herr !Daneben stand Sancho Pansa , der seinen	6275	28	17702-Cervantes_Saavedra__Miguel_de.tsv
ITJ	NN		ITJ	ach			Ach	!	gib doch meinem Baron seinen Sohn !Ach !Aber nun kam ihr Auguste Ludmer vor	36753	0	56355-Gutzkow__Karl.tsv
ITJ	NN		ITJ	ach		Herr :	Ach	!	in seinem Leben etwas Ähnliches gesehen ?Herr : Ach !« › Aber sie hat geweint .	2958	2	22329-Diderot__Denis.tsv
ITJ	NE		ITJ	ach		Als er aber des Nachts zu Bette gegangen , klangen ihm die Reden des Geistes unaufhörlich in den Ohren , wie ein ferner Sturmwind , worüber er seufzte und also mit sich selbst sprach : »	Ach	du elender und verfluchter Mensch , dir hat Gott Leib und Seele gegeben , diese solltest du besser verwahret haben !	genug , habe müssen dankbar erweisen .Als er aber des Nachts zu Bette gegangen , klangen ihm die Reden des Geistes unaufhörlich in den Ohren , wie ein ferner Sturmwind , worüber er seufzte und also mit sich selbst sprach : » Ach du elender und verfluchter Mensch , dir hat Gott Leib und Seele gegeben , diese solltest du besser verwahret haben !Dem Kaiser hatte die Lustbarkeit dieses zugerichteten	478	36	98132-Schwab__Gustav.tsv
ITJ	NN		ITJ	ach			Ach	, es ist besser , ich tue , was ich versprochen hab , und grüß ihn , anstatt ihn anzustarren und ein spöttisch Gesicht zu machen .	Nur Ärger und böses Blut .Ach , es ist besser , ich tue , was ich versprochen hab , und grüß ihn , anstatt ihn anzustarren und ein spöttisch Gesicht zu machen .Was ist all die Jahre bei meiner	2994	0	26856-Fontane__Theodor.tsv
ITJ	NN		NN	ach		Schämen Sie sich nicht der Einzelheiten , schonen Sie sich eine halbe Stunde lang nicht , erzählen Sie mir alles , und ich werde Ihnen sagen , was es war und vielleicht auch , was sein wird ... Mir scheint immer , daß es nicht das Richtige war ...	Ach	, wenn es so wäre !	Deshalb wundere ich mich .Schämen Sie sich nicht der Einzelheiten , schonen Sie sich eine halbe Stunde lang nicht , erzählen Sie mir alles , und ich werde Ihnen sagen , was es war und vielleicht auch , was sein wird ... Mir scheint immer , daß es nicht das Richtige war ... Ach , wenn es so wäre !Aber für die Liebe ist etwas anderes	2093	49	48338-Gon_arov__Ivan_Aleksandrovi_.tsv
ITJ	NE		NN	ach		« »	Ach	, arme Judith , in welchem Wahn sind Sie befangen !	« » Der Vorhang sinkt !« » Ach , arme Judith , in welchem Wahn sind Sie befangen !Ich finde es nicht seltsam , daß	5329	2	57425-Hahn_Hahn__Ida_Gr_fin_von.tsv
ITJ	NE		NN	ach		Um diese Zeit kam denn auch Herr Porphyrio von Ockerodastes aus seinem seidenen Palast hervor und ließ sich von Fräulein Ännchen mit Butterbrot füttern : »	Ach	, ach , « kicherte Fräulein Ännchen ihm oft ins Ohr , » ach , ach , wenn Papa wüßte , daß Sie eigentlich ein König sind , bester Corduanspitz .	ein Herz und eine Seele waren .Um diese Zeit kam denn auch Herr Porphyrio von Ockerodastes aus seinem seidenen Palast hervor und ließ sich von Fräulein Ännchen mit Butterbrot füttern : » Ach , ach , « kicherte Fräulein Ännchen ihm oft ins Ohr , » ach , ach , wenn Papa wüßte , daß Sie eigentlich ein König sind , bester Corduanspitz .« – Herr Dapsul seufzte einigemal hintereinander	497	26	62357-Hoffmann__E__T__A_.tsv
